text
"numpy_an_example Basic functions #an-example  An example  "
"numpy_indexing_with_strings Basic functions #indexing-with-strings  Indexing with strings  See Structured arrays . Linear Algebra  Work in progress. Basic linear algebra to be included here. "
"numpy_no_copy_at_all Basic functions #no-copy-at-all  No Copy at All  Simple assignments make no copy of objects or their data. Python passes mutable objects as references, so function calls make no copy. "
"numpy_printing_arrays Basic functions #printing-arrays  Printing Arrays  When you print an array, NumPy displays it in a similar way to nested lists, but with the following layout: the last axis is printed from left to right, the second-to-last is printed from top to bottom, the rest are also printed from top to bottom, with each slice separated from the next by an empty line. One-dimensional arrays are then printed as rows, bidimensionals as matrices and tridimensionals as lists of matrices. See below to get more details on . If an array is too large to be printed, NumPy automatically skips the central part of the array and only prints the corners: To disable this behaviour and force NumPy to print the entire array, you can change the printing options using . "
"numpy_simple_array_operations Basic functions #simple-array-operations  Simple Array Operations  See linalg.py in numpy folder for more. Tricks and Tips  Here we give a list of short and useful tips. "
"numpy_splitting_one_array_into_several_smaller_ones Basic functions #splitting-one-array-into-several-smaller-ones  Splitting one array into several smaller ones  Using hsplit , you can split an array along its horizontal axis, either by specifying the number of equally shaped arrays to return, or by specifying the columns after which the division should occur: vsplit splits along the vertical axis, and array_split allows one to specify along which axis to split. Copies and Views  When operating and manipulating arrays, their data is sometimes copied into a new array and sometimes not. This is often a source of confusion for beginners. There are three cases: "
"numpy_stacking_together_different_arrays Basic functions #stacking-together-different-arrays  Stacking together different arrays  Several arrays can be stacked together along different axes: The function column_stack stacks 1D arrays as columns into a 2D array. It is equivalent to hstack only for 2D arrays: On the other hand, the function row_stack is equivalent to vstack for any input arrays. In fact, row_stack is an alias for vstack : In general, for arrays with more than two dimensions, hstack stacks along their second axes, vstack stacks along their first axes, and concatenate allows for an optional arguments giving the number of the axis along which the concatenation should happen. Note In complex cases, r_ and c_ are useful for creating arrays by stacking numbers along one axis. They allow the use of range literals (“:”) When used with arrays as arguments, r_ and c_ are similar to vstack and hstack in their default behavior, but allow for an optional argument giving the number of the axis along which to concatenate. See also hstack , vstack , column_stack , concatenate , c_ , r_ "
"numpy_the_ix__function Basic functions #the-ix-function  The ix_() function  The ix_ function can be used to combine different vectors so as to obtain the result for each n-uplet. For example, if you want to compute all the a+b*c for all the triplets taken from each of the vectors a, b and c: You could also implement the reduce as follows: and then use it as: The advantage of this version of reduce compared to the normal ufunc.reduce is that it makes use of the Broadcasting Rules in order to avoid creating an argument array the size of the output times the number of vectors. "
"numpy_universal_functions Basic functions #universal-functions  Universal Functions  NumPy provides familiar mathematical functions such as sin, cos, and exp. In NumPy, these are called “universal functions”( ). Within NumPy, these functions operate elementwise on an array, producing an array as output. See also all , any , apply_along_axis , argmax , argmin , argsort , average , bincount , ceil , clip , conj , corrcoef , cov , cross , cumprod , cumsum , diff , dot , floor , inner , invert , lexsort , max , maximum , mean , median , min , minimum , nonzero , outer , prod , re , round , sort , std , sum , trace , transpose , var , vdot , vectorize , where "
"numpy_vector_stacking Basic functions #vector-stacking  Vector Stacking  How do we construct a 2D array from a list of equally-sized row vectors? In MATLAB this is quite easy: if and are two vectors of the same length you only need do . In NumPy this works via the functions , , and , depending on the dimension in which the stacking is to be done. For example: The logic behind those functions in more than two dimensions can be strange. See also NumPy for Matlab users "
"numpy_view_or_shallow_copy Basic functions #view-or-shallow-copy  View or Shallow Copy  Different array objects can share the same data. The method creates a new array object that looks at the same data. Slicing an array returns a view of it: "
"numpy_“automatic”_reshaping Basic functions #automatic-reshaping  “Automatic” Reshaping  To change the dimensions of an array, you can omit one of the sizes which will then be deduced automatically: "
